id,type,string_id,height,depth
1,TreeNode,1,26,0
2,TreeNode,1.1,23,1
15,TreeNode,1.1.1,20,2
18,TreeNode,1.1.1.1,12,3
37,TreeNode,1.1.1.1.1,10,4
214,TreeNode,1.1.1.1.1.1,9,5
997,TreeNode,1.1.1.1.1.1.1,8,6
1681,TreeNode,1.1.1.1.1.1.1.1,0,7
1682,TreeNode,1.1.1.1.1.1.1.2,1,7
2040,TreeNode,1.1.1.1.1.1.1.2.1,0,8
1683,TreeNode,1.1.1.1.1.1.1.3,7,7
1765,TreeNode,1.1.1.1.1.1.1.3.1,6,8
2379,TreeNode,1.1.1.1.1.1.1.3.1.1,2,9
5591,TreeNode,1.1.1.1.1.1.1.3.1.1.1,1,10
7801,TreeNode,1.1.1.1.1.1.1.3.1.1.1.1,0,11
5592,TreeNode,1.1.1.1.1.1.1.3.1.1.2,0,10
5593,TreeNode,1.1.1.1.1.1.1.3.1.1.3,0,10
2380,TreeNode,1.1.1.1.1.1.1.3.1.2,5,9
2499,TreeNode,1.1.1.1.1.1.1.3.1.2.1,2,10
5717,TreeNode,1.1.1.1.1.1.1.3.1.2.1.1,0,11
5718,TreeNode,1.1.1.1.1.1.1.3.1.2.1.2,1,11
7905,TreeNode,1.1.1.1.1.1.1.3.1.2.1.2.1,0,12
2500,TreeNode,1.1.1.1.1.1.1.3.1.2.2,1,10
2645,TreeNode,1.1.1.1.1.1.1.3.1.2.2.1,0,11
2646,TreeNode,1.1.1.1.1.1.1.3.1.2.2.2,0,11
2501,TreeNode,1.1.1.1.1.1.1.3.1.2.3,4,10
2979,TreeNode,1.1.1.1.1.1.1.3.1.2.3.1,2,11
4027,TreeNode,1.1.1.1.1.1.1.3.1.2.3.1.1,1,12
9133,TreeNode,1.1.1.1.1.1.1.3.1.2.3.1.1.1,0,13
2980,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2,3,11
4399,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.1,2,12
6991,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.1.1,1,13
9788,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.1.1.1,0,14
9789,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.1.1.2,0,14
6992,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.1.2,0,13
4400,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.2,0,12
4401,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3,2,12
8490,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3.1,1,13
9957,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3.1.1,0,14
9958,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3.1.2,0,14
8491,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3.2,0,13
8492,TreeNode,1.1.1.1.1.1.1.3.1.2.3.2.3.3,0,13
2381,TreeNode,1.1.1.1.1.1.1.3.1.3,0,9
998,TreeNode,1.1.1.1.1.1.2,3,6
3695,TreeNode,1.1.1.1.1.1.2.1,2,7
8943,TreeNode,1.1.1.1.1.1.2.1.1,0,8
8944,TreeNode,1.1.1.1.1.1.2.1.2,1,8
9057,TreeNode,1.1.1.1.1.1.2.1.2.1,0,9
8945,TreeNode,1.1.1.1.1.1.2.1.3,0,8
215,TreeNode,1.1.1.1.1.2,6,5
262,TreeNode,1.1.1.1.1.2.1,2,6
3633,TreeNode,1.1.1.1.1.2.1.1,1,7
5142,TreeNode,1.1.1.1.1.2.1.1.1,0,8
3634,TreeNode,1.1.1.1.1.2.1.2,1,7
5693,TreeNode,1.1.1.1.1.2.1.2.1,0,8
5694,TreeNode,1.1.1.1.1.2.1.2.2,0,8
3635,TreeNode,1.1.1.1.1.2.1.3,0,7
263,TreeNode,1.1.1.1.1.2.2,5,6
676,TreeNode,1.1.1.1.1.2.2.1,2,7
1092,TreeNode,1.1.1.1.1.2.2.1.1,1,8
3630,TreeNode,1.1.1.1.1.2.2.1.1.1,0,9
677,TreeNode,1.1.1.1.1.2.2.2,4,7
2229,TreeNode,1.1.1.1.1.2.2.2.1,0,8
2230,TreeNode,1.1.1.1.1.2.2.2.2,3,8
3844,TreeNode,1.1.1.1.1.2.2.2.2.1,2,9
5890,TreeNode,1.1.1.1.1.2.2.2.2.1.1,1,10
8760,TreeNode,1.1.1.1.1.2.2.2.2.1.1.1,0,11
8761,TreeNode,1.1.1.1.1.2.2.2.2.1.1.2,0,11
5891,TreeNode,1.1.1.1.1.2.2.2.2.1.2,1,10
