id,type,integer_id,upper_bound,height,depth
1,TreeNode,1,200000,36,0
2,TreeNode,2,161435,35,1
4,TreeNode,3,161434,34,2
5,TreeNode,4,131779,33,3
14,TreeNode,5,61512,30,4
28,TreeNode,6,1407,19,5
57,TreeNode,7,1406,18,6
127,TreeNode,8,63,8,7
1836,TreeNode,9,62,7,8
1950,TreeNode,10,37,6,9
3224,TreeNode,11,36,5,10
14202,TreeNode,12,35,4,11
15281,TreeNode,13,34,3,12
44378,TreeNode,14,27,2,13
92371,TreeNode,15,16,0,14
92372,TreeNode,17,24,1,14
94403,TreeNode,18,19,0,15
94404,TreeNode,20,21,0,15
94405,TreeNode,22,23,0,15
92373,TreeNode,25,26,0,14
44379,TreeNode,28,31,1,13
48609,TreeNode,29,30,0,14
44380,TreeNode,32,33,0,13
1951,TreeNode,38,59,5,9
3223,TreeNode,39,58,4,10
8771,TreeNode,40,57,3,11
46937,TreeNode,41,46,2,12
62210,TreeNode,42,45,1,13
77718,TreeNode,43,44,0,14
46938,TreeNode,47,48,0,12
46939,TreeNode,49,56,1,12
54227,TreeNode,50,51,0,13
54228,TreeNode,52,53,0,13
54229,TreeNode,54,55,0,13
1952,TreeNode,60,61,0,9
128,TreeNode,64,1405,17,7
900,TreeNode,65,292,15,8
1469,TreeNode,66,291,14,9
1685,TreeNode,67,290,13,10
2003,TreeNode,68,277,12,11
2393,TreeNode,69,276,11,12
3013,TreeNode,70,275,10,13
4364,TreeNode,71,88,2,14
16420,TreeNode,72,77,1,15
58049,TreeNode,73,74,0,16
58050,TreeNode,75,76,0,16
16421,TreeNode,78,81,1,15
46729,TreeNode,79,80,0,16
16422,TreeNode,82,87,1,15
94677,TreeNode,83,84,0,16
94678,TreeNode,85,86,0,16
4365,TreeNode,89,208,9,14
5793,TreeNode,90,207,8,15
6827,TreeNode,91,100,3,16
16253,TreeNode,92,99,2,17
19473,TreeNode,93,94,0,18
19474,TreeNode,95,98,1,18
35102,TreeNode,96,97,0,19
6828,TreeNode,101,104,1,16
40219,TreeNode,102,103,0,17
6829,TreeNode,105,206,7,16
8974,TreeNode,106,139,5,17
20924,TreeNode,107,110,1,18
42329,TreeNode,108,109,0,19
20925,TreeNode,111,120,3,18
23570,TreeNode,112,117,2,19
48043,TreeNode,113,116,1,20
69821,TreeNode,114,115,0,21
23571,TreeNode,118,119,0,19
20926,TreeNode,121,138,4,18
27821,TreeNode,122,137,3,19
29590,TreeNode,123,124,0,20
29591,TreeNode,125,136,2,20
77643,TreeNode,126,127,0,21
77644,TreeNode,128,129,0,21
77645,TreeNode,130,135,1,21
80294,TreeNode,131,132,0,22
80295,TreeNode,133,134,0,22
8975,TreeNode,140,175,6,17
13014,TreeNode,141,148,2,18
13654,TreeNode,142,147,1,19
29939,TreeNode,143,144,0,20
29940,TreeNode,145,146,0,20
13015,TreeNode,149,174,5,18
25713,TreeNode,150,173,4,19
36479,TreeNode,151,152,0,20
36480,TreeNode,153,154,0,20
