id,type,integer_id,upper_bound,height,depth
2,TreeNode,1,392,9,0
3,TreeNode,2,5,1,1
6,TreeNode,3,4,0,2
4,TreeNode,6,389,8,1
7,TreeNode,7,88,7,2
10,TreeNode,8,87,6,3
19,TreeNode,9,86,5,4
25,TreeNode,10,43,4,5
42,TreeNode,11,42,3,6
54,TreeNode,12,29,2,7
117,TreeNode,13,14,0,8
118,TreeNode,15,22,1,8
147,TreeNode,16,17,0,9
148,TreeNode,18,19,0,9
149,TreeNode,20,21,0,9
119,TreeNode,23,28,1,8
189,TreeNode,24,25,0,9
190,TreeNode,26,27,0,9
55,TreeNode,30,41,2,7
81,TreeNode,31,32,0,8
82,TreeNode,33,34,0,8
83,TreeNode,35,40,1,8
140,TreeNode,36,37,0,9
141,TreeNode,38,39,0,9
26,TreeNode,44,85,4,5
47,TreeNode,45,54,3,6
56,TreeNode,46,53,2,7
96,TreeNode,47,50,1,8
196,TreeNode,48,49,0,9
97,TreeNode,51,52,0,8
48,TreeNode,55,84,3,6
57,TreeNode,56,65,2,7
84,TreeNode,57,64,1,8
165,TreeNode,58,59,0,9
166,TreeNode,60,61,0,9
167,TreeNode,62,63,0,9
58,TreeNode,66,83,2,7
110,TreeNode,67,74,1,8
162,TreeNode,68,69,0,9
163,TreeNode,70,71,0,9
164,TreeNode,72,73,0,9
111,TreeNode,75,82,1,8
135,TreeNode,76,77,0,9
136,TreeNode,78,79,0,9
137,TreeNode,80,81,0,9
8,TreeNode,89,90,0,2
9,TreeNode,91,388,7,2
11,TreeNode,92,219,6,3
14,TreeNode,93,94,0,4
15,TreeNode,95,134,5,4
23,TreeNode,96,131,4,5
35,TreeNode,97,100,1,6
59,TreeNode,98,99,0,7
36,TreeNode,101,130,3,6
60,TreeNode,102,127,2,7
101,TreeNode,103,110,1,8
130,TreeNode,104,105,0,9
131,TreeNode,106,107,0,9
132,TreeNode,108,109,0,9
102,TreeNode,111,118,1,8
179,TreeNode,112,113,0,9
180,TreeNode,114,115,0,9
181,TreeNode,116,117,0,9
103,TreeNode,119,126,1,8
169,TreeNode,120,121,0,9
170,TreeNode,122,123,0,9
171,TreeNode,124,125,0,9
61,TreeNode,128,129,0,7
24,TreeNode,132,133,0,5
16,TreeNode,135,218,5,4
29,TreeNode,136,197,4,5
43,TreeNode,137,164,3,6
69,TreeNode,138,139,0,7
70,TreeNode,140,149,2,7
120,TreeNode,141,148,1,8
182,TreeNode,142,143,0,9
183,TreeNode,144,145,0,9
184,TreeNode,146,147,0,9
71,TreeNode,150,163,2,7
94,TreeNode,151,154,1,8
129,TreeNode,152,153,0,9
95,TreeNode,155,162,1,8
150,TreeNode,156,157,0,9
151,TreeNode,158,159,0,9
152,TreeNode,160,161,0,9
44,TreeNode,165,196,3,6
77,TreeNode,166,169,1,7
109,TreeNode,167,168,0,8
78,TreeNode,170,179,2,7
124,TreeNode,171,172,0,8
125,TreeNode,173,178,1,8
133,TreeNode,174,175,0,9
134,TreeNode,176,177,0,9
79,TreeNode,180,195,2,7
85,TreeNode,181,182,0,8
86,TreeNode,183,190,1,8
156,TreeNode,184,185,0,9
157,TreeNode,186,187,0,9
158,TreeNode,188,189,0,9
87,TreeNode,191,194,1,8
142,TreeNode,192,193,0,9
30,TreeNode,198,215,4,5
45,TreeNode,199,210,3,6
62,TreeNode,200,207,2,7
115,TreeNode,201,202,0,8
116,TreeNode,203,206,1,8
197,TreeNode,204,205,0,9
63,TreeNode,208,209,0,7
46,TreeNode,211,214,1,6
65,TreeNode,212,213,0,7
31,TreeNode,216,217,0,5
12,TreeNode,220,293,6,3
20,TreeNode,221,222,0,4
21,TreeNode,223,292,5,4
27,TreeNode,224,247,4,5
40,TreeNode,225,242,3,6
51,TreeNode,226,237,2,7
104,TreeNode,227,230,1,8
168,TreeNode,228,229,0,9
105,TreeNode,231,236,1,8
175,TreeNode,232,233,0,9
176,TreeNode,234,235,0,9
52,TreeNode,238,239,0,7
53,TreeNode,240,241,0,7
41,TreeNode,243,246,1,6
74,TreeNode,244,245,0,7
28,TreeNode,248,291,4,5
49,TreeNode,249,290,3,6
66,TreeNode,250,263,2,7
88,TreeNode,251,254,1,8
138,TreeNode,252,253,0,9
89,TreeNode,255,258,1,8
188,TreeNode,256,257,0,9
90,TreeNode,259,262,1,8
178,TreeNode,260,261,0,9
67,TreeNode,264,285,2,7
112,TreeNode,265,272,1,8
185,TreeNode,266,267,0,9
186,TreeNode,268,269,0,9
187,TreeNode,270,271,0,9
113,TreeNode,273,276,1,8
177,TreeNode,274,275,0,9
114,TreeNode,277,284,1,8
126,TreeNode,278,279,0,9
127,TreeNode,280,281,0,9
128,TreeNode,282,283,0,9
68,TreeNode,286,289,1,7
106,TreeNode,287,288,0,8
13,TreeNode,294,387,6,3
17,TreeNode,295,346,5,4
32,TreeNode,296,321,4,5
39,TreeNode,297,320,3,6
72,TreeNode,298,317,2,7
121,TreeNode,299,304,1,8
191,TreeNode,300,301,0,9
192,TreeNode,302,303,0,9
122,TreeNode,305,312,1,8
153,TreeNode,306,307,0,9
154,TreeNode,308,309,0,9
155,TreeNode,310,311,0,9
123,TreeNode,313,316,1,8
139,TreeNode,314,315,0,9
73,TreeNode,318,319,0,7
33,TreeNode,322,343,4,5
37,TreeNode,323,326,1,6
80,TreeNode,324,325,0,7
38,TreeNode,327,342,3,6
64,TreeNode,328,341,2,7
98,TreeNode,329,330,0,8
99,TreeNode,331,338,1,8
172,TreeNode,332,333,0,9
173,TreeNode,334,335,0,9
174,TreeNode,336,337,0,9
100,TreeNode,339,340,0,8
34,TreeNode,344,345,0,5
18,TreeNode,347,386,5,4
22,TreeNode,348,385,4,5
50,TreeNode,349,384,3,6
75,TreeNode,350,365,2,7
91,TreeNode,351,354,1,8
146,TreeNode,352,353,0,9
92,TreeNode,355,356,0,8
93,TreeNode,357,364,1,8
143,TreeNode,358,359,0,9
144,TreeNode,360,361,0,9
145,TreeNode,362,363,0,9
76,TreeNode,366,383,2,7
107,TreeNode,367,374,1,8
159,TreeNode,368,369,0,9
160,TreeNode,370,371,0,9
161,TreeNode,372,373,0,9
108,TreeNode,375,382,1,8
193,TreeNode,376,377,0,9
194,TreeNode,378,379,0,9
195,TreeNode,380,381,0,9
5,TreeNode,390,391,0,1
198,TreeNode,393,428,4,0
199,TreeNode,394,427,3,1
200,TreeNode,395,396,0,2
201,TreeNode,397,406,2,2
203,TreeNode,398,405,1,3
210,TreeNode,399,400,0,4
211,TreeNode,401,402,0,4
212,TreeNode,403,404,0,4
202,TreeNode,407,426,2,2
204,TreeNode,408,415,1,3
207,TreeNode,409,410,0,4
208,TreeNode,411,412,0,4
209,TreeNode,413,414,0,4
205,TreeNode,416,417,0,3
206,TreeNode,418,425,1,3
213,TreeNode,419,420,0,4
214,TreeNode,421,422,0,4
215,TreeNode,423,424,0,4
216,TreeNode,429,522,9,0
217,TreeNode,430,521,8,1
218,TreeNode,431,510,7,2
220,TreeNode,432,505,6,3
224,TreeNode,433,462,5,4
228,TreeNode,434,459,4,5
233,TreeNode,435,452,3,6
240,TreeNode,436,437,0,7
241,TreeNode,438,451,2,7
251,TreeNode,439,442,1,8
