2|2|87|1
7|3|26|2
87|4|5|3
88|6|7|3
89|8|9|3
90|10|11|3
91|12|23|3
93|13|14|4
94|15|16|4
95|17|18|4
96|19|20|4
97|21|22|4
92|24|25|3
8|27|28|2
9|29|66|2
21|30|31|3
22|32|41|3
38|33|34|4
39|35|36|4
40|37|38|4
41|39|40|4
23|42|43|3
24|44|45|3
25|46|65|3
50|47|48|4
51|49|50|4
52|51|52|4
53|53|54|4
54|55|64|4
68|56|57|5
69|58|59|5
70|60|61|5
71|62|63|5
10|67|86|2
11|68|69|3
12|70|71|3
13|72|73|3
14|74|75|3
15|76|77|3
16|78|85|3
98|79|80|4
99|81|82|4
100|83|84|4
3|88|97|1
17|89|90|2
18|91|92|2
19|93|94|2
20|95|96|2
4|98|187|1
26|99|100|2
27|101|122|2
72|102|103|3
73|104|115|3
77|105|106|4
78|107|108|4
79|109|110|4
80|111|112|4
81|113|114|4
74|116|117|3
75|118|119|3
76|120|121|3
28|123|124|2
29|125|126|2
30|127|138|2
55|128|129|3
56|130|131|3
57|132|133|3
58|134|135|3
59|136|137|3
31|139|186|2
32|140|141|3
33|142|143|3
34|144|155|3
82|145|146|4
83|147|148|4
84|149|150|4
85|151|152|4
86|153|154|4
35|156|181|3
42|157|158|4
43|159|176|4
46|160|161|5
47|162|171|5
60|163|164|6
61|165|166|6
62|167|168|6
63|169|170|6
48|172|173|5
49|174|175|5
44|177|178|4
45|179|180|4
36|182|183|3
37|184|185|3
5|188|197|1
64|189|190|2
65|191|192|2
66|193|194|2
67|195|196|2
6|198|199|1
