36|146|151|9
96|13|14|10
15|143|164|6
80|23|24|10
50|101|106|8
48|80|81|11
21|179|186|4
46|85|86|10
69|110|111|9
39|7|32|6
83|189|190|6
100|63|64|10
57|160|161|9
75|22|25|9
45|79|84|10
13|121|122|6
14|125|142|6
71|46|47|9
65|9|10|8
68|40|41|9
10|124|173|5
35|96|97|9
92|184|185|5
18|54|99|7
98|90|91|11
2|2|199|1
23|195|196|4
34|78|95|9
19|100|115|7
60|60|61|9
33|76|77|9
97|88|89|11
43|43|44|8
64|130|131|9
56|158|159|9
66|11|20|8
17|144|163|7
99|92|93|11
27|145|152|8
25|126|139|7
87|71|72|10
28|153|162|8
5|178|197|3
30|55|58|8
61|62|65|9
76|26|27|9
77|155|156|10
85|67|68|10
82|168|171|7
53|102|103|9
72|48|49|9
7|5|174|4
90|180|181|5
84|191|192|6
63|128|129|9
55|154|157|9
79|149|150|10
89|169|170|8
41|38|51|7
70|112|113|9
49|82|83|11
51|107|108|8
8|6|33|5
52|109|114|8
16|165|172|6
44|45|50|8
29|188|193|5
54|104|105|9
24|117|118|8
74|136|137|9
73|134|135|9
31|59|74|8
3|3|176|2
20|116|119|7
11|35|52|6
26|140|141|7
42|39|42|8
95|18|19|9
67|21|28|8
78|147|148|10
88|56|57|9
9|34|123|5
91|182|183|5
59|30|31|7
37|127|132|8
32|75|98|8
62|66|73|9
86|69|70|10
38|133|138|8
93|12|15|9
94|16|17|9
4|177|198|2
47|87|94|10
58|8|29|7
6|4|175|3
12|53|120|6
40|36|37|7
81|166|167|7
22|187|194|4
