id,type,string_id,height,depth
1,TreeNode,1,11,0
2,TreeNode,1.1,10,1
3,TreeNode,1.1.1,9,2
6,TreeNode,1.1.1.1,8,3
7,TreeNode,1.1.1.1.1,7,4
8,TreeNode,1.1.1.1.1.1,5,5
39,TreeNode,1.1.1.1.1.1.1,4,6
58,TreeNode,1.1.1.1.1.1.1.1,3,7
65,TreeNode,1.1.1.1.1.1.1.1.1,0,8
66,TreeNode,1.1.1.1.1.1.1.1.2,2,8
93,TreeNode,1.1.1.1.1.1.1.1.2.1,1,9
96,TreeNode,1.1.1.1.1.1.1.1.2.1.1,0,10
94,TreeNode,1.1.1.1.1.1.1.1.2.2,0,9
95,TreeNode,1.1.1.1.1.1.1.1.2.3,0,9
67,TreeNode,1.1.1.1.1.1.1.1.3,2,8
75,TreeNode,1.1.1.1.1.1.1.1.3.1,1,9
80,TreeNode,1.1.1.1.1.1.1.1.3.1.1,0,10
76,TreeNode,1.1.1.1.1.1.1.1.3.2,0,9
59,TreeNode,1.1.1.1.1.1.1.2,0,7
9,TreeNode,1.1.1.1.1.2,6,5
11,TreeNode,1.1.1.1.1.2.1,3,6
40,TreeNode,1.1.1.1.1.2.1.1,0,7
41,TreeNode,1.1.1.1.1.2.1.2,2,7
42,TreeNode,1.1.1.1.1.2.1.2.1,1,8
68,TreeNode,1.1.1.1.1.2.1.2.1.1,0,9
43,TreeNode,1.1.1.1.1.2.1.2.2,0,8
44,TreeNode,1.1.1.1.1.2.1.2.3,1,8
71,TreeNode,1.1.1.1.1.2.1.2.3.1,0,9
72,TreeNode,1.1.1.1.1.2.1.2.3.2,0,9
12,TreeNode,1.1.1.1.1.2.2,5,6
18,TreeNode,1.1.1.1.1.2.2.1,4,7
30,TreeNode,1.1.1.1.1.2.2.1.1,1,8
88,TreeNode,1.1.1.1.1.2.2.1.1.1,0,9
31,TreeNode,1.1.1.1.1.2.2.1.2,2,8
60,TreeNode,1.1.1.1.1.2.2.1.2.1,0,9
61,TreeNode,1.1.1.1.1.2.2.1.2.2,1,9
100,TreeNode,1.1.1.1.1.2.2.1.2.2.1,0,10
62,TreeNode,1.1.1.1.1.2.2.1.2.3,1,9
85,TreeNode,1.1.1.1.1.2.2.1.2.3.1,0,10
86,TreeNode,1.1.1.1.1.2.2.1.2.3.2,0,10
87,TreeNode,1.1.1.1.1.2.2.1.2.3.3,0,10
32,TreeNode,1.1.1.1.1.2.2.1.3,3,8
33,TreeNode,1.1.1.1.1.2.2.1.3.1,0,9
34,TreeNode,1.1.1.1.1.2.2.1.3.2,2,9
45,TreeNode,1.1.1.1.1.2.2.1.3.2.1,1,10
48,TreeNode,1.1.1.1.1.2.2.1.3.2.1.1,0,11
49,TreeNode,1.1.1.1.1.2.2.1.3.2.1.2,0,11
46,TreeNode,1.1.1.1.1.2.2.1.3.2.2,0,10
47,TreeNode,1.1.1.1.1.2.2.1.3.2.3,1,10
97,TreeNode,1.1.1.1.1.2.2.1.3.2.3.1,0,11
98,TreeNode,1.1.1.1.1.2.2.1.3.2.3.2,0,11
99,TreeNode,1.1.1.1.1.2.2.1.3.2.3.3,0,11
35,TreeNode,1.1.1.1.1.2.2.1.3.3,0,9
19,TreeNode,1.1.1.1.1.2.2.2,2,7
50,TreeNode,1.1.1.1.1.2.2.2.1,1,8
53,TreeNode,1.1.1.1.1.2.2.2.1.1,0,9
54,TreeNode,1.1.1.1.1.2.2.2.1.2,0,9
51,TreeNode,1.1.1.1.1.2.2.2.2,0,8
52,TreeNode,1.1.1.1.1.2.2.2.3,1,8
69,TreeNode,1.1.1.1.1.2.2.2.3.1,0,9
70,TreeNode,1.1.1.1.1.2.2.2.3.2,0,9
20,TreeNode,1.1.1.1.1.2.2.3,1,7
24,TreeNode,1.1.1.1.1.2.2.3.1,0,8
13,TreeNode,1.1.1.1.1.2.3,0,6
10,TreeNode,1.1.1.1.1.3,5,5
14,TreeNode,1.1.1.1.1.3.1,3,6
25,TreeNode,1.1.1.1.1.3.1.1,2,7
37,TreeNode,1.1.1.1.1.3.1.1.1,1,8
63,TreeNode,1.1.1.1.1.3.1.1.1.1,0,9
64,TreeNode,1.1.1.1.1.3.1.1.1.2,0,9
38,TreeNode,1.1.1.1.1.3.1.1.2,1,8
73,TreeNode,1.1.1.1.1.3.1.1.2.1,0,9
74,TreeNode,1.1.1.1.1.3.1.1.2.2,0,9
26,TreeNode,1.1.1.1.1.3.1.2,0,7
15,TreeNode,1.1.1.1.1.3.2,4,6
17,TreeNode,1.1.1.1.1.3.2.1,3,7
27,TreeNode,1.1.1.1.1.3.2.1.1,2,8
36,TreeNode,1.1.1.1.1.3.2.1.1.1,1,9
78,TreeNode,1.1.1.1.1.3.2.1.1.1.1,0,10
79,TreeNode,1.1.1.1.1.3.2.1.1.1.2,0,10
28,TreeNode,1.1.1.1.1.3.2.1.2,2,8
55,TreeNode,1.1.1.1.1.3.2.1.2.1,1,9
77,TreeNode,1.1.1.1.1.3.2.1.2.1.1,0,10
56,TreeNode,1.1.1.1.1.3.2.1.2.2,0,9
57,TreeNode,1.1.1.1.1.3.2.1.2.3,0,9
16,TreeNode,1.1.1.1.1.3.3,2,6
81,TreeNode,1.1.1.1.1.3.3.1,0,7
82,TreeNode,1.1.1.1.1.3.3.2,1,7
89,TreeNode,1.1.1.1.1.3.3.2.1,0,8
4,TreeNode,1.1.2,4,2
5,TreeNode,1.1.2.1,3,3
21,TreeNode,1.1.2.1.1,1,4
90,TreeNode,1.1.2.1.1.1,0,5
91,TreeNode,1.1.2.1.1.2,0,5
92,TreeNode,1.1.2.1.1.3,0,5
22,TreeNode,1.1.2.1.2,2,4
29,TreeNode,1.1.2.1.2.1,1,5
83,TreeNode,1.1.2.1.2.1.1,0,6
84,TreeNode,1.1.2.1.2.1.2,0,6
23,TreeNode,1.1.2.1.3,0,4
